ID;LATITUDE;LONGITUDE;STRATEGY;SECTOR;NOTE
619;43.772797;-0.043459;-1;-1;
620;43.772797;-0.043436;-1;-1;
621;43.772797;-0.043413;-1;-1;
622;43.772793;-0.043391;-1;-1;
623;43.772793;-0.043368;-1;-1;
624;43.772793;-0.043345;-1;-1;
625;43.772789;-0.04331;-1;-1;
626;43.772789;-0.043287;-1;-1;
627;43.772785;-0.043265;-1;-1;
628;43.772781;-0.043242;-1;-1;
629;43.772781;-0.043219;-1;-1;
630;43.772778;-0.043185;-1;-1;
631;43.772774;-0.043162;-1;-1;
632;43.772774;-0.043139;-1;-1;
633;43.77277;-0.043116;-1;-1;
634;43.772766;-0.043082;-1;-1;
635;43.772762;-0.043059;-1;-1;
636;43.772758;-0.043036;-1;-1;
637;43.772755;-0.043014;-1;-1;
638;43.772751;-0.042991;-1;-1;
639;43.772747;-0.042957;-1;-1;
640;43.772743;-0.042934;-1;-1;
641;43.772739;-0.042912;-1;-1;
642;43.772736;-0.042889;-1;-1;
643;43.772728;-0.042855;-1;-1;
644;43.772724;-0.042833;-1;-1;
645;43.772717;-0.04281;-1;-1;
646;43.772713;-0.042788;-1;-1;
647;43.772709;-0.042766;-1;-1;
648;43.772701;-0.042732;-1;-1;
649;43.772694;-0.04271;-1;-1;
650;43.77269;-0.042688;-1;-1;
651;43.772686;-0.042666;-1;-1;
652;43.772675;-0.042633;-1;-1;
653;43.772671;-0.042611;-1;-1;
654;43.772663;-0.042589;-1;-1;
655;43.772659;-0.042568;-1;-1;
656;43.772652;-0.042546;-1;-1;
657;43.772644;-0.042525;-1;-1;
658;43.772636;-0.042505;-1;-1;
659;43.772629;-0.042484;-1;-1;
660;43.772621;-0.042463;-1;-1;
661;43.772614;-0.042443;-1;-1;
662;43.772606;-0.042423;-1;-1;
663;43.772598;-0.042403;-1;-1;
664;43.772591;-0.042383;-1;-1;
665;43.772583;-0.042364;-1;-1;
666;43.772575;-0.042344;-1;-1;
667;43.772568;-0.042325;-1;-1;
668;43.772556;-0.042306;-1;-1;
669;43.772549;-0.042287;-1;-1;
670;43.772541;-0.042268;-1;-1;
671;43.77253;-0.04225;-1;-1;
672;43.772518;-0.042222;-1;-1;
673;43.772507;-0.042204;-1;-1;
674;43.772499;-0.042186;-1;-1;
675;43.772488;-0.042169;-1;-1;
676;43.772476;-0.042151;-1;-1;
677;43.772469;-0.042134;-1;-1;
678;43.772457;-0.042117;-1;-1;
679;43.772449;-0.0421;-1;-1;
680;43.772438;-0.042083;-1;-1;
681;43.772423;-0.042057;-1;-1;
682;43.772411;-0.042041;-1;-1;
683;43.7724;-0.042024;-1;-1;
684;43.772392;-0.042008;-1;-1;
685;43.772381;-0.041991;-1;-1;
686;43.772369;-0.041975;-1;-1;
687;43.772362;-0.041959;-1;-1;
688;43.77235;-0.041942;-1;-1;
689;43.772339;-0.041926;-1;-1;
